Initial Condition,Boundary Condition,Avg Validation Loss,Std Validation Loss,Avg Threshold,Std Threshold
sin,dirichlet,0.000650447754014749,0.0002145005155216352,3124.7,780.6388473551647
sin,neumann,0.0006437047879444436,0.0001989446154023054,3197.8,727.7765865978378
sin,periodic,0.000660319700546097,0.0001974721443739767,3273.0,880.0228974293794
step,dirichlet,0.0478841396048665,0.0007577671085456809,5000.0,0.0
step,neumann,0.048095361515879634,0.0007347345581953996,5000.0,0.0
step,periodic,0.047939644381403926,0.000614022786192656,5000.0,0.0
gaussian,dirichlet,0.017100933752954007,0.00047807135994130164,5000.0,0.0
gaussian,neumann,0.01706071086227894,0.0004409850265905704,5000.0,0.0
gaussian,periodic,0.016997527796775103,0.00027284587985726807,5000.0,0.0
