Initial Condition,Boundary Condition,Avg Validation Loss,Std Validation Loss,Avg Threshold,Std Threshold
sin,dirichlet,0.0014431103802053258,0.00044507214651211486,4425.5,752.1038159722367
sin,neumann,0.0014617861073929817,0.00042589108487084236,4496.2,563.9735454788638
sin,periodic,0.0014374619378941134,0.0004153780995584107,4626.7,431.2689532066968
step,dirichlet,0.06316186245530844,0.0019243285366061717,5000.0,0.0
step,neumann,0.06365867517888546,0.0015397739872740229,5000.0,0.0
step,periodic,0.06336755305528641,0.0015670028493512474,5000.0,0.0
gaussian,dirichlet,0.025441084522753954,0.0008193808215934678,5000.0,0.0
gaussian,neumann,0.02557389494031668,0.00126430514712101,5000.0,0.0
gaussian,periodic,0.025713339913636446,0.0007969326825830242,5000.0,0.0
