Initial Condition,Boundary Condition,Avg Validation Loss,Std Validation Loss,Avg Threshold,Std Threshold
sin,dirichlet,0.019498218153603374,0.014795034495762685,5000.0,0.0
sin,neumann,0.016104038478806613,0.010139807353431014,5000.0,0.0
sin,periodic,0.026916212949436157,0.020238821525449847,5000.0,0.0
step,dirichlet,0.05707219112664461,0.005608924672676134,5000.0,0.0
step,neumann,0.05630037877708673,0.0015990473308863222,5000.0,0.0
step,periodic,0.05580554772168398,0.0023364268753450733,5000.0,0.0
gaussian,dirichlet,0.022223664913326502,0.0012948570836429387,5000.0,0.0
gaussian,neumann,0.02206824757158756,0.0011925842182899965,5000.0,0.0
gaussian,periodic,0.023413266707211732,0.0022938483045602,5000.0,0.0
