Initial Condition,Boundary Condition,Avg Validation Loss,Std Validation Loss,Avg Threshold,Std Threshold
sin,dirichlet,0.0003666498683742248,8.864596212896994e-05,2002.95,415.75719777293097
sin,neumann,0.0004045349684020039,0.00014509959914709447,2183.9,565.7943000773338
sin,periodic,0.00037292653214535674,9.04494393707278e-05,2023.2,488.30621540177015
step,dirichlet,0.0531761609017849,0.0020834037662377956,5000.0,0.0
step,neumann,0.05443502254784107,0.004868196248696169,5000.0,0.0
step,periodic,0.056691350787878035,0.006768751216038952,5000.0,0.0
gaussian,dirichlet,0.020036718528717756,0.0018694857663400241,5000.0,0.0
gaussian,neumann,0.02067416738718748,0.001463810175111028,5000.0,0.0
gaussian,periodic,0.02028063265606761,0.0015176689929296808,5000.0,0.0
